medcodeid	snomedctconceptid	snomedctdescriptionid	readcode	emiscodecategoryid	term	hes_ethnicity	Ethnicity6	EthnicityEngWales2011	EthnicityEngWales2021	EthnicityScot2011	EthnicityNI2011	EthnicityUK2011
142881000000117	94131000000103	142881000000117	9iF4.00	22	buddhist - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
138261000000114	89011000000107	138261000000114	9iFD.00	22	iranian - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
142901000000119	94151000000105	142901000000119	9iFK.00	22	any other group - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
1968391000006113	977871000000100	2487201000000119	9t1F.00	22	other ethnic group: any other grp- ni ethnic cat 2011 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
4740261000006118	186007009	2668698012	^ESCTBR474026	22	british ethnic minority unspecified (nmo)	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
142861000000114	94111000000106	142861000000114	9iFG.00	22	latin american - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
459785017	372148003	1210724015	9SJ..00	22	other ethnic group	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
285959014	186006000	285959014	9SA1.00	22	brit. ethnic minor. spec.(nmo)	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
157351000000115	110831000000107	157351000000115	9iF5.00	22	hindu - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
1968221000006116	976971000000106	2485311000000117	9t0H.00	22	other ethnic: any other grp - eng+wales eth cat 2011 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
1968591000006116	978401000000105	2488301000000114	9t2J.00	22	other ethnic grp: any other ethnic grp- scotland 2011 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
937941000006111	94121000000100	142871000000119	9iFJ.00	22	mauritian/seychellois/maldivian/st helena eth cat 2001census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
286017019	372148003	1210724015	9T1A.00	22	other pacific ethnic group	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
142831000000116	94081000000103	142831000000116	9iFC.00	22	israeli - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
142841000000113	94091000000101	142841000000113	9iFE.00	22	kurdish - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
405068014	270464009	405068014	9SA4.00	22	n african arab/iranian (nmo)	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
138241000000113	88991000000105	138241000000113	9iF6.00	22	jewish - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
286021014	186035008	286006015	9T1Y.00	22	other new zealand ethnic group	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
142891000000115	94141000000107	142891000000115	9iF8.00	22	sikh - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
937871000006114	94071000000100	142821000000118	9iFB.00	22	mid east (excl israeli, iranian & arab) - eth cat 2001 cens	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
285958018	186005001	285958018	9SA..00	22	other ethnic non-mixed (nmo)	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
285988010	186005001	285958018	9SAD.00	22	other ethnic nec (nmo)	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
138281000000117	89031000000104	138281000000117	9iF7.00	22	muslim - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
285960016	186007009	285960016	9SA2.00	22	brit. ethnic minor. unsp (nmo)	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
141411000000115	92521000000101	141411000000115	9iF..00	22	other - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
138271000000119	89021000000101	138271000000119	9iFH.00	22	south and central american - ethnic category 2001 census	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
286022019	186035008	286006015	9T1Z.00	22	new zealand ethnic group nos	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
286006015	186035008	286006015	9T1..00	22	new zealand ethnic groups	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
253627011	162730000	253627011	226..00	27	o/e - ethnic group	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
253628018	162730000	253628018	226..11	27	o/e - ethnic origin	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
253635014	162730000	253627011	226Z.00	27	o/e - ethnic group nos	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
286003011	397731000	1777341010	9SZ..00	22	ethnic groups (census) nos	Other	Other	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group	Other ethnic group
2722611000006114	14045001	23929010	NA	31	caucasian	White	White	British	British	Other British	White	White
6351381000006116	371251000	1228982010	NA	31	white	White	White	British	British	Other British	White	White
1063981000000117	494131000000105	1063981000000117	9i00.00	22	white british - ethnic category 2001 census	White	White	British	British	Other British	White	White
196641000006110	413773004	2537215011	134B.00	22	race: caucasian	White	White	British	British	Other British	White	White
459726019	315236000	459726019	9S10.00	22	white british	White	White	British	British	Other British	White	White
1780408016	401214002	1780408016	9S14.00	22	other white british ethnic group	White	White	British	British	Other British	White	White
6846371000006111	413773004	2533842018	^ESCTCA684637	22	caucasian	White	White	British	British	Other British	White	White
141451000000116	92561000000109	141451000000116	9i24.00	22	northern irish - ethnic category 2001 census	White	White	British	British	Other British	White	White
2486161000000112	977351000000100	2486161000000112	9t10.00	22	white - northern ireland ethnic category 2011 census	White	White	British	British	Other British	White	White
158341000000117	92391000000108	158341000000117	9i0..00	22	british or mixed british - ethnic category 2001 census	White	White	British	British	Other British	White	White
142691000000116	93921000000101	142691000000116	9i25.00	22	ulster scots - ethnic category 2001 census	White	White	British	British	Other British	White	White
141461000000118	92571000000102	141461000000118	9i23.00	22	cornish - ethnic category 2001 census	White	White	British	British	Other British	White	White
1968051000006116	976631000000101	2484631000000115	9t00.00	22	white:eng/welsh/scot/ni/brit - england and wales 2011 census	White	White	British	British	Other British	White	White
141441000000119	92551000000106	141441000000119	9i22.00	22	welsh - ethnic category 2001 census	White	White	British	British	Other British	White	White
157281000000117	110761000000106	157281000000117	9i20.00	22	english - ethnic category 2001 census	White	White	British	British	Other British	White	White
2487321000000116	977931000000106	2487321000000116	9t21.00	22	white: other british - scotland ethnic category 2011 census	White	White	British	British	Other British	White	White
285925010	185984009	285925010	9S1..00	22	white	White	White	British	British	Other British	White	White
141431000000111	92541000000108	141431000000111	9i21.00	22	scottish - ethnic category 2001 census	White	White	British	British	Scottish	White	White
2487281000000112	977911000000103	2487281000000112	9t20.00	22	white: scottish - scotland ethnic category 2011 census	White	White	British	British	Scottish	White	White
1780407014	401213008	1780407014	9S13.00	22	white scottish	White	White	British	British	Scottish	White	White
1968251000006113	977371000000109	2486201000000116	9t11.00	22	irish traveller - northern ireland ethnic cat 2011 census	White	White	Gypsy or Irish Traveller	Gypsy or Irish Traveller	Gypsy/Traveller	Irish Traveller	White
1968071000006114	976671000000104	2484711000000117	9t02.00	22	white: gypsy/irish traveller - eng+wales eth cat 2011 census	White	White	Gypsy or Irish Traveller	Gypsy or Irish Traveller	Gypsy/Traveller	Irish Traveller	White
1968441000006112	977971000000108	2487401000000115	9t23.00	22	white: gypsy/irish traveller - scotland ethnic cat 2011 cens	White	White	Gypsy or Irish Traveller	Gypsy or Irish Traveller	Gypsy/Traveller	Irish Traveller	White
138171000000114	88911000000101	138171000000114	9i2C.00	22	irish traveller - ethnic category 2001 census	White	White	Gypsy or Irish Traveller	Gypsy or Irish Traveller	Gypsy/Traveller	Irish Traveller	White
138181000000111	88921000000107	138181000000111	9i2D.00	22	traveller - ethnic category 2001 census	White	White	Gypsy or Irish Traveller	Gypsy or Irish Traveller	Gypsy/Traveller	Irish Traveller	White
138191000000113	88931000000109	138191000000113	9i2E.00	22	gypsy/romany - ethnic category 2001 census	White	White	Gypsy or Irish Traveller	Gypsy or Irish Traveller	Gypsy/Traveller	Irish Traveller	White
459786016	315283003	459786016	9SI..00	22	irish traveller	White	White	Gypsy or Irish Traveller	Gypsy or Irish Traveller	Gypsy/Traveller	Irish Traveller	White
850671000006119	40182006	63802019	9T2..00	22	gypsies	NA	White	Gypsy or Irish Traveller	Gypsy or Irish Traveller	Gypsy/Traveller	White	White
3146431000006116	40182006	2162400016	NA	22	gypsy	NA	White	Gypsy or Irish Traveller	Gypsy or Irish Traveller	Gypsy/Traveller	White	White
2484671000000118	976651000000108	2484671000000118	9t01.00	22	white: irish - england and wales ethnic category 2011 census	White	White	Irish	Irish	Irish	White	White
285978014	186014006	285978014	9SA9.00	22	irish (nmo)	White	White	Irish	Irish	Irish	White	White
1064041000000111	494161000000100	1064041000000111	9i10.00	22	white irish - ethnic category 2001 census	White	White	Irish	Irish	Irish	White	White
141301000000110	92401000000106	141301000000110	9i1..00	22	irish - ethnic category 2001 census	White	White	Irish	Irish	Irish	White	White
2487361000000112	977951000000104	2487361000000112	9t22.00	22	white: irish - scotland ethnic category 2011 census	White	White	Irish	Irish	Irish	White	White
459727011	315237009	459727011	9S11.00	22	white irish	White	White	Irish	Irish	Irish	White	White
133078012	80208004	133078012	9T8..00	22	portuguese	White	White	Other White	Other White	Other White	White	White
286007012	186036009	286007012	9T11.00	22	new zealand european	White	White	Other White	Other White	Other White	White	White
286008019	186036009	286008019	9T11.11	22	pakeha	White	White	Other White	Other White	Other White	White	White
286009010	186037000	286009010	9T12.00	22	other european in new zealand	White	White	Other White	Other White	Other White	White	White
2537217015	413773004	2537217015	134N.00	22	race: white	White	White	Other White	Other White	Other White	White	White
1158211000000111	445343003	2872780011	9T4..00	22	romanian	White	White	Other White	Other White	Other White	White	White
1158301000000115	29343004	1158301000000115	9T5..00	22	bulgarian	White	White	Other White	Other White	Other White	White	White
1160331000000119	286009	3314518019	9T6..00	22	czech	White	White	Other White	Other White	Other White	White	White
1551471000000116	36329002	3314524013	9T7..00	22	slovak	White	White	Other White	Other White	Other White	White	White
1573201000006119	1573201000006103	1573201000006119	NA	22	portuguese	White	White	Other White	Other White	Other White	White	White
2971841000006112	29343004	3314528011	NA	22	bulgarian	White	White	Other White	Other White	Other White	White	White
250222012	160513005	250222012	1341.00	17	european origin	White	White	Other White	Other White	Other White	White	White
459728018	185984009	285926011	9S12.00	22	other white ethnic group	White	White	Other White	Other White	Other White	White	White
1968081000006112	976691000000100	2484751000000118	9t03.00	22	white: other white backgrd- eng+wales ethnic cat 2011 census	White	White	Other White	Other White	Other White	White	White
405071018	270467002	405071018	9SAB.00	22	turkish/turkish cypriot (nmo)	White	White	Other White	Other White	Other White	White	White
141661000000115	92791000000109	141661000000115	9i26.00	22	cypriot (part not stated) - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
937371000006116	94011000000105	142771000000112	9i2P.00	22	other republics former yugoslavia - ethnic categ 2001 census	White	White	Other White	Other White	Other White	White	White
142751000000115	93991000000103	142751000000115	9i2L.00	22	bosnian - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
141311000000112	92411000000108	141311000000112	9i2..00	22	other white background - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
937391000006115	94041000000106	142801000000110	9i2R.00	22	oth white european/european unsp/mixed european 2001 census	White	White	Other White	Other White	Other White	White	White
937311000006113	88961000000104	138221000000118	9i2H.00	22	commonwealth (russian) indep states - ethn categ 2001 census	White	White	Other White	Other White	Other White	White	White
138231000000116	88971000000106	138231000000116	9i2K.00	22	albanian - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
405070017	270466006	405070017	9SAA.00	22	greek/greek cypriot (nmo)	White	White	Other White	Other White	Other White	White	White
411595012	275600005	411595012	9SAA.12	22	greek cypriot (nmo)	White	White	Other White	Other White	Other White	White	White
156921000000110	110401000000103	156921000000110	9i29.00	22	turkish - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
411596013	275601009	411596013	9SAB.11	22	turkish (nmo)	White	White	Other White	Other White	Other White	White	White
157991000000110	88981000000108	157991000000110	9i2N.00	22	serbian - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
411597016	275602002	411597016	9SAB.12	22	turkish cypriot (nmo)	White	White	Other White	Other White	Other White	White	White
1968461000006111	978031000000109	2487521000000113	9t25.00	22	white: other white ethnic grp- scotland ethnic cat 2011 cens	White	White	Other White	Other White	Other White	White	White
142721000000113	93951000000106	142721000000113	9i2A.00	22	turkish cypriot - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
937301000006110	88951000000102	138211000000112	9i2G.00	22	baltic estonian/latvian/lithuanian - ethn categ 2001 census	White	White	Other White	Other White	Other White	White	White
142711000000119	93941000000108	142711000000119	9i28.00	22	greek cypriot - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
142761000000117	94001000000108	142761000000117	9i2M.00	22	croatian - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
937411000006115	94051000000109	158491000000118	9i2T.00	22	other white or white unspecified ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
142741000000118	93981000000100	142741000000118	9i2J.00	22	kosovan - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
142791000000111	94031000000102	142791000000111	9i2S.00	22	other mixed white - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
142781000000114	94021000000104	142781000000114	9i2Q.00	22	mixed irish and other white - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
411594011	275599007	411594011	9SAA.11	22	greek (nmo)	White	White	Other White	Other White	Other White	White	White
285987017	186017004	285987017	9SAC.00	22	other european (nmo)	White	White	Other White	Other White	Other White	White	White
142701000000116	93931000000104	142701000000116	9i27.00	22	greek - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
158481000000115	93961000000109	158481000000115	9i2B.00	22	italian - ethnic category 2001 census	White	White	Other White	Other White	Other White	White	White
4740381000006118	186022004	2668812012	^ESCTOT474038	22	other ethnic, mixed white origin	White	White	Other White	Other White	Other White	White	White
285992015	186022004	285992015	9SB3.00	22	other ethnic, mixed white orig	White	White	Other White	Other White	Other White	White	White
2487481000000113	978011000000101	2487481000000113	9t24.00	22	white: polish - scotland ethnic category 2011 census	White	White	Other White	Other White	Polish	White	White
138201000000110	88941000000100	138201000000110	9i2F.00	22	polish - ethnic category 2001 census	White	White	Other White	Other White	Polish	White	White
7779801000006116	718958002	3314514017	NA	37	roma	White	White	Other White	Roma	Other White	White	White
5453471000006117	262488002	390428019	NA	31	roma	White	White	Other White	Roma	Other White	White	White
2615361000000115	718961001	3314522012	NA	22	slovak roma	White	White	Other White	Roma	Other White	White	White
2615461000000111	718959005	3314516015	NA	22	czech roma	White	White	Other White	Roma	Other White	White	White
2615531000000117	718963003	3314530013	NA	22	hungarian roma	White	White	Other White	Roma	Other White	White	White
2615571000000115	718964009	3314534016	NA	22	polish roma	White	White	Other White	Roma	Other White	White	White
2615611000000112	718960000	3314520016	NA	22	romanian roma	White	White	Other White	Roma	Other White	White	White
2615691000000115	718962008	3314526010	NA	22	bulgarian roma	White	White	Other White	Roma	Other White	White	White
2645811000000115	718958002	2678971000000113	9TC	22	roma ethnic group	White	White	Other White	Roma	Other White	White	White
